estrato,N,n,posicao_zero_based,pagina,pi_compra,seed
T1-M08,5695,37,2518,51,0.0064969271290605795,20260915
T1-M08,5695,37,2600,53,0.0064969271290605795,20260915
T1-M08,5695,37,3019,61,0.0064969271290605795,20260915
T1-M08,5695,37,3693,74,0.0064969271290605795,20260915
T1-M08,5695,37,3742,75,0.0064969271290605795,20260915
T1-M08,5695,37,3809,77,0.0064969271290605795,20260915
T1-M08,5695,37,3867,78,0.0064969271290605795,20260915
T1-M08,5695,37,4090,82,0.0064969271290605795,20260915
T1-M08,5695,37,4654,94,0.0064969271290605795,20260915
T1-M08,5695,37,4701,95,0.0064969271290605795,20260915
T1-M08,5695,37,4915,99,0.0064969271290605795,20260915
T1-M08,5695,37,4928,99,0.0064969271290605795,20260915
T1-M08,5695,37,4981,100,0.0064969271290605795,20260915
T1-M08,5695,37,5000,101,0.0064969271290605795,20260915
T1-M08,5695,37,5218,105,0.0064969271290605795,20260915
T1-M08,5695,37,5354,108,0.0064969271290605795,20260915
T1-M08,5695,37,5578,112,0.0064969271290605795,20260915
T1-M09,1549,8,415,9,0.005164622336991607,20260915
T1-M09,1549,8,548,11,0.005164622336991607,20260915
T1-M09,1549,8,670,14,0.005164622336991607,20260915
T1-M09,1549,8,1143,23,0.005164622336991607,20260915
T1-M09,1549,8,1270,26,0.005164622336991607,20260915
T1-M09,1549,8,1377,28,0.005164622336991607,20260915
T1-M09,1549,8,1405,29,0.005164622336991607,20260915
T1-M09,1549,8,1448,29,0.005164622336991607,20260915
T1-M10,8,2,3,1,0.25,20260915
T1-M10,8,2,4,1,0.25,20260915
T1-M11,106,2,11,1,0.018867924528301886,20260915
T1-M11,106,2,17,1,0.018867924528301886,20260915
T1-M12,167,2,3,1,0.011976047904191617,20260915
T1-M12,167,2,40,1,0.011976047904191617,20260915
T2-M01,12,2,10,1,0.16666666666666666,20260915
T2-M01,12,2,11,1,0.16666666666666666,20260915
T2-M04,635,2,321,7,0.0031496062992125984,20260915
T2-M04,635,2,355,8,0.0031496062992125984,20260915
T2-M05,7,2,2,1,0.2857142857142857,20260915
T2-M05,7,2,6,1,0.2857142857142857,20260915
T2-M06,3084,19,23,1,0.00616083009079118,20260915
T2-M06,3084,19,103,3,0.00616083009079118,20260915
T2-M06,3084,19,194,4,0.00616083009079118,20260915
T2-M06,3084,19,932,19,0.00616083009079118,20260915
T2-M06,3084,19,1006,21,0.00616083009079118,20260915
T2-M06,3084,19,1323,27,0.00616083009079118,20260915
T2-M06,3084,19,1658,34,0.00616083009079118,20260915
T2-M06,3084,19,1686,34,0.00616083009079118,20260915
T2-M06,3084,19,1968,40,0.00616083009079118,20260915
T2-M06,3084,19,2175,44,0.00616083009079118,20260915
T2-M06,3084,19,2177,44,0.00616083009079118,20260915
T2-M06,3084,19,2194,44,0.00616083009079118,20260915
T2-M06,3084,19,2246,45,0.00616083009079118,20260915
T2-M06,3084,19,2307,47,0.00616083009079118,20260915
T2-M06,3084,19,2526,51,0.00616083009079118,20260915
T2-M06,3084,19,2636,53,0.00616083009079118,20260915
T2-M06,3084,19,2656,54,0.00616083009079118,20260915
T2-M06,3084,19,2734,55,0.00616083009079118,20260915
T2-M06,3084,19,2954,60,0.00616083009079118,20260915
T2-M07,32,2,24,1,0.0625,20260915
T2-M07,32,2,28,1,0.0625,20260915
T2-M08,8818,59,71,2,0.006690859605352688,20260915
T2-M08,8818,59,72,2,0.006690859605352688,20260915
T2-M08,8818,59,245,5,0.006690859605352688,20260915
T2-M08,8818,59,480,10,0.006690859605352688,20260915
T2-M08,8818,59,553,12,0.006690859605352688,20260915
T2-M08,8818,59,630,13,0.006690859605352688,20260915
T2-M08,8818,59,681,14,0.006690859605352688,20260915
T2-M08,8818,59,888,18,0.006690859605352688,20260915
T2-M08,8818,59,898,18,0.006690859605352688,20260915
T2-M08,8818,59,991,20,0.006690859605352688,20260915
T2-M08,8818,59,1532,31,0.006690859605352688,20260915
T2-M08,8818,59,2169,44,0.006690859605352688,20260915
T2-M08,8818,59,2188,44,0.006690859605352688,20260915
T2-M08,8818,59,2288,46,0.006690859605352688,20260915
T2-M08,8818,59,2638,53,0.006690859605352688,20260915
T2-M08,8818,59,2705,55,0.006690859605352688,20260915
T2-M08,8818,59,2754,56,0.006690859605352688,20260915
T2-M08,8818,59,3232,65,0.006690859605352688,20260915
T2-M08,8818,59,3348,67,0.006690859605352688,20260915
T2-M08,8818,59,3364,68,0.006690859605352688,20260915
T2-M08,8818,59,3383,68,0.006690859605352688,20260915
T2-M08,8818,59,3440,69,0.006690859605352688,20260915
T2-M08,8818,59,3596,72,0.006690859605352688,20260915
T2-M08,8818,59,3694,74,0.006690859605352688,20260915
T2-M08,8818,59,3832,77,0.006690859605352688,20260915
T2-M08,8818,59,3842,77,0.006690859605352688,20260915
T2-M08,8818,59,4092,82,0.006690859605352688,20260915
T2-M08,8818,59,4195,84,0.006690859605352688,20260915
T2-M08,8818,59,4557,92,0.006690859605352688,20260915
T2-M08,8818,59,4614,93,0.006690859605352688,20260915
T2-M08,8818,59,4659,94,0.006690859605352688,20260915
T2-M08,8818,59,4661,94,0.006690859605352688,20260915
T2-M08,8818,59,4674,94,0.006690859605352688,20260915
T2-M08,8818,59,4711,95,0.006690859605352688,20260915
T2-M08,8818,59,5347,107,0.006690859605352688,20260915
T2-M08,8818,59,5476,110,0.006690859605352688,20260915
T2-M08,8818,59,5644,113,0.006690859605352688,20260915
T2-M08,8818,59,6015,121,0.006690859605352688,20260915
T2-M08,8818,59,6027,121,0.006690859605352688,20260915
T2-M08,8818,59,6312,127,0.006690859605352688,20260915
T2-M08,8818,59,6404,129,0.006690859605352688,20260915
T2-M08,8818,59,6483,130,0.006690859605352688,20260915
T2-M08,8818,59,6508,131,0.006690859605352688,20260915
T2-M08,8818,59,6780,136,0.006690859605352688,20260915
T2-M08,8818,59,6807,137,0.006690859605352688,20260915
T2-M08,8818,59,7159,144,0.006690859605352688,20260915
T2-M08,8818,59,7181,144,0.006690859605352688,20260915
T2-M08,8818,59,7389,148,0.006690859605352688,20260915
T2-M08,8818,59,7631,153,0.006690859605352688,20260915
T2-M08,8818,59,7650,154,0.006690859605352688,20260915
T2-M08,8818,59,7752,156,0.006690859605352688,20260915
T2-M08,8818,59,8007,161,0.006690859605352688,20260915
T2-M08,8818,59,8460,170,0.006690859605352688,20260915
T2-M08,8818,59,8462,170,0.006690859605352688,20260915
T2-M08,8818,59,8525,171,0.006690859605352688,20260915
T2-M08,8818,59,8585,172,0.006690859605352688,20260915
T2-M08,8818,59,8634,173,0.006690859605352688,20260915
T2-M08,8818,59,8648,173,0.006690859605352688,20260915
T2-M08,8818,59,8787,176,0.006690859605352688,20260915
T2-M09,1467,8,279,6,0.0054533060668029995,20260915
T2-M09,1467,8,307,7,0.0054533060668029995,20260915
T2-M09,1467,8,404,9,0.0054533060668029995,20260915
T2-M09,1467,8,493,10,0.0054533060668029995,20260915
T2-M09,1467,8,651,14,0.0054533060668029995,20260915
T2-M09,1467,8,662,14,0.0054533060668029995,20260915
T2-M09,1467,8,960,20,0.0054533060668029995,20260915
T2-M09,1467,8,1088,22,0.0054533060668029995,20260915
T2-M11,191,2,96,2,0.010471204188481676,20260915
T2-M11,191,2,124,3,0.010471204188481676,20260915
T2-M12,177,2,59,2,0.011299435028248588,20260915
T2-M12,177,2,84,2,0.011299435028248588,20260915
T3-M01,6,2,0,1,0.3333333333333333,20260915
T3-M01,6,2,2,1,0.3333333333333333,20260915
T3-M03,1,1,0,1,1.0,20260915
T3-M04,789,3,426,9,0.0038022813688212928,20260915
T3-M04,789,3,693,14,0.0038022813688212928,20260915
T3-M04,789,3,732,15,0.0038022813688212928,20260915
T3-M05,14,2,6,1,0.14285714285714285,20260915
T3-M05,14,2,9,1,0.14285714285714285,20260915
T3-M06,3333,21,245,5,0.0063006300630063005,20260915
T3-M06,3333,21,275,6,0.0063006300630063005,20260915
T3-M06,3333,21,856,18,0.0063006300630063005,20260915
T3-M06,3333,21,898,18,0.0063006300630063005,20260915
T3-M06,3333,21,964,20,0.0063006300630063005,20260915
T3-M06,3333,21,1071,22,0.0063006300630063005,20260915
T3-M06,3333,21,1074,22,0.0063006300630063005,20260915
T3-M06,3333,21,1079,22,0.0063006300630063005,20260915
T3-M06,3333,21,1094,22,0.0063006300630063005,20260915
T3-M06,3333,21,1375,28,0.0063006300630063005,20260915
T3-M06,3333,21,1773,36,0.0063006300630063005,20260915
T3-M06,3333,21,1902,39,0.0063006300630063005,20260915
T3-M06,3333,21,1975,40,0.0063006300630063005,20260915
T3-M06,3333,21,2021,41,0.0063006300630063005,20260915
T3-M06,3333,21,2138,43,0.0063006300630063005,20260915
T3-M06,3333,21,2324,47,0.0063006300630063005,20260915
T3-M06,3333,21,2455,50,0.0063006300630063005,20260915
T3-M06,3333,21,2508,51,0.0063006300630063005,20260915
T3-M06,3333,21,2662,54,0.0063006300630063005,20260915
T3-M06,3333,21,2841,57,0.0063006300630063005,20260915
T3-M06,3333,21,2855,58,0.0063006300630063005,20260915
T3-M07,41,2,7,1,0.04878048780487805,20260915
T3-M07,41,2,35,1,0.04878048780487805,20260915
T3-M08,10361,70,111,3,0.006756104623105877,20260915
T3-M08,10361,70,472,10,0.006756104623105877,20260915
T3-M08,10361,70,476,10,0.006756104623105877,20260915
T3-M08,10361,70,549,11,0.006756104623105877,20260915
T3-M08,10361,70,870,18,0.006756104623105877,20260915
T3-M08,10361,70,948,19,0.006756104623105877,20260915
T3-M08,10361,70,1005,21,0.006756104623105877,20260915
T3-M08,10361,70,1075,22,0.006756104623105877,20260915
T3-M08,10361,70,1321,27,0.006756104623105877,20260915
T3-M08,10361,70,1394,28,0.006756104623105877,20260915
T3-M08,10361,70,1524,31,0.006756104623105877,20260915
T3-M08,10361,70,1558,32,0.006756104623105877,20260915
T3-M08,10361,70,1589,32,0.006756104623105877,20260915
T3-M08,10361,70,1822,37,0.006756104623105877,20260915
T3-M08,10361,70,1864,38,0.006756104623105877,20260915
T3-M08,10361,70,1906,39,0.006756104623105877,20260915
T3-M08,10361,70,2043,41,0.006756104623105877,20260915
T3-M08,10361,70,2130,43,0.006756104623105877,20260915
T3-M08,10361,70,2244,45,0.006756104623105877,20260915
T3-M08,10361,70,2414,49,0.006756104623105877,20260915
T3-M08,10361,70,2436,49,0.006756104623105877,20260915
T3-M08,10361,70,2475,50,0.006756104623105877,20260915
T3-M08,10361,70,2553,52,0.006756104623105877,20260915
T3-M08,10361,70,2638,53,0.006756104623105877,20260915
T3-M08,10361,70,2688,54,0.006756104623105877,20260915
T3-M08,10361,70,2729,55,0.006756104623105877,20260915
T3-M08,10361,70,2852,58,0.006756104623105877,20260915
T3-M08,10361,70,2872,58,0.006756104623105877,20260915
T3-M08,10361,70,2932,59,0.006756104623105877,20260915
T3-M08,10361,70,3010,61,0.006756104623105877,20260915
T3-M08,10361,70,3206,65,0.006756104623105877,20260915
T3-M08,10361,70,3245,65,0.006756104623105877,20260915
T3-M08,10361,70,3808,77,0.006756104623105877,20260915
T3-M08,10361,70,3850,78,0.006756104623105877,20260915
T3-M08,10361,70,4119,83,0.006756104623105877,20260915
T3-M08,10361,70,4458,90,0.006756104623105877,20260915
T3-M08,10361,70,4651,94,0.006756104623105877,20260915
T3-M08,10361,70,4697,94,0.006756104623105877,20260915
T3-M08,10361,70,5292,106,0.006756104623105877,20260915
T3-M08,10361,70,5302,107,0.006756104623105877,20260915
T3-M08,10361,70,5875,118,0.006756104623105877,20260915
T3-M08,10361,70,6041,121,0.006756104623105877,20260915
T3-M08,10361,70,6086,122,0.006756104623105877,20260915
T3-M08,10361,70,6121,123,0.006756104623105877,20260915
T3-M08,10361,70,6327,127,0.006756104623105877,20260915
T3-M08,10361,70,6461,130,0.006756104623105877,20260915
T3-M08,10361,70,6533,131,0.006756104623105877,20260915
T3-M08,10361,70,6697,134,0.006756104623105877,20260915
T3-M08,10361,70,6705,135,0.006756104623105877,20260915
T3-M08,10361,70,6806,137,0.006756104623105877,20260915
T3-M08,10361,70,7028,141,0.006756104623105877,20260915
T3-M08,10361,70,7316,147,0.006756104623105877,20260915
T3-M08,10361,70,7420,149,0.006756104623105877,20260915
T3-M08,10361,70,7475,150,0.006756104623105877,20260915
T3-M08,10361,70,7632,153,0.006756104623105877,20260915
T3-M08,10361,70,7907,159,0.006756104623105877,20260915
T3-M08,10361,70,8584,172,0.006756104623105877,20260915
T3-M08,10361,70,8630,173,0.006756104623105877,20260915
T3-M08,10361,70,8820,177,0.006756104623105877,20260915
T3-M08,10361,70,9061,182,0.006756104623105877,20260915
T3-M08,10361,70,9065,182,0.006756104623105877,20260915
T3-M08,10361,70,9239,185,0.006756104623105877,20260915
T3-M08,10361,70,9271,186,0.006756104623105877,20260915
T3-M08,10361,70,9278,186,0.006756104623105877,20260915
T3-M08,10361,70,9329,187,0.006756104623105877,20260915
T3-M08,10361,70,9341,187,0.006756104623105877,20260915
T3-M08,10361,70,9521,191,0.006756104623105877,20260915
T3-M08,10361,70,9599,192,0.006756104623105877,20260915
T3-M08,10361,70,9633,193,0.006756104623105877,20260915
T3-M08,10361,70,10023,201,0.006756104623105877,20260915
T3-M09,2771,17,32,1,0.006134969325153374,20260915
T3-M09,2771,17,238,5,0.006134969325153374,20260915
T3-M09,2771,17,372,8,0.006134969325153374,20260915
T3-M09,2771,17,421,9,0.006134969325153374,20260915
T3-M09,2771,17,665,14,0.006134969325153374,20260915
T3-M09,2771,17,691,14,0.006134969325153374,20260915
T3-M09,2771,17,1140,23,0.006134969325153374,20260915
T3-M09,2771,17,1301,27,0.006134969325153374,20260915
T3-M09,2771,17,1395,28,0.006134969325153374,20260915
T3-M09,2771,17,1652,34,0.006134969325153374,20260915
T3-M09,2771,17,1812,37,0.006134969325153374,20260915
T3-M09,2771,17,1915,39,0.006134969325153374,20260915
T3-M09,2771,17,1986,40,0.006134969325153374,20260915
T3-M09,2771,17,2100,43,0.006134969325153374,20260915
T3-M09,2771,17,2252,46,0.006134969325153374,20260915
T3-M09,2771,17,2273,46,0.006134969325153374,20260915
T3-M09,2771,17,2323,47,0.006134969325153374,20260915
T3-M10,7,2,1,1,0.2857142857142857,20260915
T3-M10,7,2,3,1,0.2857142857142857,20260915
T3-M11,201,2,65,2,0.009950248756218905,20260915
T3-M11,201,2,80,2,0.009950248756218905,20260915
T3-M12,170,2,90,2,0.011764705882352941,20260915
T3-M12,170,2,149,3,0.011764705882352941,20260915
T4-M01,3,2,0,1,0.6666666666666666,20260915
T4-M01,3,2,1,1,0.6666666666666666,20260915
T4-M04,657,2,119,3,0.0030441400304414,20260915
T4-M04,657,2,485,10,0.0030441400304414,20260915
T4-M05,10,2,0,1,0.2,20260915
T4-M05,10,2,2,1,0.2,20260915
T4-M06,3208,20,99,2,0.006234413965087282,20260915
T4-M06,3208,20,138,3,0.006234413965087282,20260915
T4-M06,3208,20,263,6,0.006234413965087282,20260915
T4-M06,3208,20,339,7,0.006234413965087282,20260915
T4-M06,3208,20,451,10,0.006234413965087282,20260915
T4-M06,3208,20,465,10,0.006234413965087282,20260915
T4-M06,3208,20,1065,22,0.006234413965087282,20260915
T4-M06,3208,20,1112,23,0.006234413965087282,20260915
T4-M06,3208,20,1399,28,0.006234413965087282,20260915
T4-M06,3208,20,1420,29,0.006234413965087282,20260915
T4-M06,3208,20,1841,37,0.006234413965087282,20260915
T4-M06,3208,20,2101,43,0.006234413965087282,20260915
T4-M06,3208,20,2616,53,0.006234413965087282,20260915
T4-M06,3208,20,2709,55,0.006234413965087282,20260915
T4-M06,3208,20,2738,55,0.006234413965087282,20260915
T4-M06,3208,20,2769,56,0.006234413965087282,20260915
T4-M06,3208,20,2804,57,0.006234413965087282,20260915
T4-M06,3208,20,3051,62,0.006234413965087282,20260915
T4-M06,3208,20,3059,62,0.006234413965087282,20260915
T4-M06,3208,20,3184,64,0.006234413965087282,20260915
T4-M07,73,2,19,1,0.0273972602739726,20260915
T4-M07,73,2,60,2,0.0273972602739726,20260915
T4-M08,5432,35,192,4,0.006443298969072165,20260915
T4-M08,5432,35,290,6,0.006443298969072165,20260915
T4-M08,5432,35,313,7,0.006443298969072165,20260915
T4-M08,5432,35,336,7,0.006443298969072165,20260915
T4-M08,5432,35,392,8,0.006443298969072165,20260915
T4-M08,5432,35,487,10,0.006443298969072165,20260915
T4-M08,5432,35,830,17,0.006443298969072165,20260915
T4-M08,5432,35,1065,22,0.006443298969072165,20260915
T4-M08,5432,35,1146,23,0.006443298969072165,20260915
T4-M08,5432,35,1603,33,0.006443298969072165,20260915
T4-M08,5432,35,1686,34,0.006443298969072165,20260915
T4-M08,5432,35,1895,38,0.006443298969072165,20260915
T4-M08,5432,35,2069,42,0.006443298969072165,20260915
T4-M08,5432,35,2080,42,0.006443298969072165,20260915
T4-M08,5432,35,2223,45,0.006443298969072165,20260915
T4-M08,5432,35,2351,48,0.006443298969072165,20260915
T4-M08,5432,35,2411,49,0.006443298969072165,20260915
T4-M08,5432,35,2641,53,0.006443298969072165,20260915
T4-M08,5432,35,2653,54,0.006443298969072165,20260915
T4-M08,5432,35,2928,59,0.006443298969072165,20260915
T4-M08,5432,35,3065,62,0.006443298969072165,20260915
T4-M08,5432,35,3130,63,0.006443298969072165,20260915
T4-M08,5432,35,3236,65,0.006443298969072165,20260915
T4-M08,5432,35,3522,71,0.006443298969072165,20260915
T4-M08,5432,35,3580,72,0.006443298969072165,20260915
T4-M08,5432,35,4017,81,0.006443298969072165,20260915
T4-M08,5432,35,4207,85,0.006443298969072165,20260915
T4-M08,5432,35,4436,89,0.006443298969072165,20260915
T4-M08,5432,35,4548,91,0.006443298969072165,20260915
T4-M08,5432,35,4607,93,0.006443298969072165,20260915
T4-M08,5432,35,4713,95,0.006443298969072165,20260915
T4-M08,5432,35,4798,96,0.006443298969072165,20260915
T4-M08,5432,35,5002,101,0.006443298969072165,20260915
T4-M08,5432,35,5034,101,0.006443298969072165,20260915
T4-M08,5432,35,5317,107,0.006443298969072165,20260915
T4-M09,2773,17,292,6,0.006130544536602957,20260915
T4-M09,2773,17,346,7,0.006130544536602957,20260915
T4-M09,2773,17,543,11,0.006130544536602957,20260915
T4-M09,2773,17,942,19,0.006130544536602957,20260915
T4-M09,2773,17,1056,22,0.006130544536602957,20260915
T4-M09,2773,17,1087,22,0.006130544536602957,20260915
T4-M09,2773,17,1276,26,0.006130544536602957,20260915
T4-M09,2773,17,1494,30,0.006130544536602957,20260915
T4-M09,2773,17,1644,33,0.006130544536602957,20260915
T4-M09,2773,17,1717,35,0.006130544536602957,20260915
T4-M09,2773,17,1799,36,0.006130544536602957,20260915
T4-M09,2773,17,2228,45,0.006130544536602957,20260915
T4-M09,2773,17,2240,45,0.006130544536602957,20260915
T4-M09,2773,17,2269,46,0.006130544536602957,20260915
T4-M09,2773,17,2298,46,0.006130544536602957,20260915
T4-M09,2773,17,2582,52,0.006130544536602957,20260915
T4-M09,2773,17,2668,54,0.006130544536602957,20260915
T4-M10,2,2,0,1,1.0,20260915
T4-M10,2,2,1,1,1.0,20260915
T4-M11,108,2,0,1,0.018518518518518517,20260915
T4-M11,108,2,37,1,0.018518518518518517,20260915
T4-M12,163,2,89,2,0.012269938650306749,20260915
T4-M12,163,2,136,3,0.012269938650306749,20260915
T4-M13,1,1,0,1,1.0,20260915
